ID	DIALOGUE_TEXT
05_LIN_ANG_SEQ_12	Just because I'm a lynx doesn't mean I'm going to eat you.
05_LIN_NEU_SEQ_13	So relax, human.
05_LIN_NEU_SEQ_14	You prefer meat, or veggies?
05_PRO_SUR_DTR_10	I've never seen a lynx before.
05_PRO_ANG_DTR_11	I don't believe you!
05_LIN_NEU_SEQ_15	Well, there is nothing surprising in being one..
05_LIN_NEU_SEQ_16	We eat, sleep, talk and work like any other being.
05_LIN_NEU_SEQ_17	Surprising, isn't it?
05_LIN_ANG_SEQ_18	Then good luck finding food by yourself.
05_LIN_ANG_SEQ_19	How rude.
05_PRO_SAD_DTR_12	I don't want to be a burden...
05_PRO_NEU_DTR_13	Whataver you want.
05_LIN_NEU_SEQ_18	...
05_LIN_ANG_SEQ_20	*sigh* Well silent kid, you will see.
05_LIN_HAP_SEQ_21	You won't. You're just a child.
05_LIN_NEU_SEQ_22	An adult has to take care of you.
05_LIN_ANG_SEQ_23	Heh, you're starting to sound like the red racoon there.
05_LIN_ANG_SEQ_24	But maybe you should start thinking before talking like that.
05_LIN_ANG_SEQ_25	Koala may have patience. I don't.
05_PRO_HAP_DTR_13	Makes sense, you are like me!
05_PRO_HAP_DTR_14	But you eat people!
05_LIN_SUR_SEQ_25	...
05_LIN_HAP_SEQ_26	Haha! You really are something else, huh?
05_LIN_ANG_SEQ_27	Nevermind. I won't lose time with a rude human.
05_LIN_ANG_SEQ_28	Get out of my sight.
05_LIN_NEU_SEQ_29	Here, take the food.
05_LIN_NEU_SEQ_30	Leave me alone for a while, please.
05_LIN_NEU_SEQ_31	I need to think...
05_PAN_ANG_SEQ_01	YOU WANNA FIGHT?!
05_PAN_CON_SEQ_02	Stay away from me.
05_PAN_CON_SEQ_03	I'm talking seriously, don't make me say it twice.
05_PAN_NEU_SEQ_04	...
05_PAN_CON_SEQ_05	All humans are the same.
05_PAN_NEU_SEQ_06	Stay away from me.
05_PAN_ANG_SEQ_07	Why are you still here!?
05_PRO_SAD_DTR_14	I wanted to know you better...
05_PRO_NEU_DTR_15	Why are you so rude to me?
05_PAN_SUR_SEQ_07	...
05_PAN_FEA_SEQ_08	STOP STARING AT ME LIKE THAT, YOU CREEP!
05_PAN_NEU_SEQ_09	... Are you stupid or something?
05_PAN_NEU_SEQ_10	Why would I want to speak to a barbarian like you?
05_PAN_ANG_SEQ_11	I beg you pardon?
05_PAN_ANG_SEQ_12	Rude? To you? Are you serious?
05_PAN_FEA_SEQ_13	I'm just being cautious! We can't trust you humans!
05_PRO_SAD_DTR_15	Can I be your friend?
05_PRO_HAP_DTR_16	Are you a racoon?
05_PRO_SAD_DTR_17	Because I wanna be your friend.
05_PRO_ANG_DTR_18	I did nothing to you.
05_PRO_SAD_DTR_19	But I did nothing to you...
05_PRO_ANG_DTR_20	You are jelous that I'm human.
05_PAN_SUR_SEQ_13	...
05_PAN_HAP_SEQ_14	PFFFT!! HAHAHAHA!
05_PAN_ANG_SEQ_15	Me? Jelaous? Of you? Why on earth I would?
05_PRO_SAD_DTR_20	Sorry, that was mean of me.
05_PRO_SAD_DTR_21	Because you're a racoon.
05_PAN_CON_SEQ_15	At least you are aware of it. Good.
05_PAN_NEU_SEQ_16	Now, can you leave me alone?
05_PAN_NEU_SEQ_17	You know what? That's all.
05_PAN_ANG_SEQ_18	Get out of my sight. Now.
05_PAN_ANG_SEQ_19	Or I will bite you. Or punch you,
05_PAN_ANG_SEQ_20	Stupid human.
05_PAN_ANG_SEQ_21	I don't want to be friends of you.
05_PAN_NEU_SEQ_22	No human can be trusted.
05_PAN_NEU_SEQ_23	Specially you, the small ones.
05_PAN_SAD_SEQ_24	You're the worst. You are cruel.
05_PAN_NEU_SEQ_25	Well, maybe not you. That's true.
05_PAN_ANG_SEQ_26	But you humans have a long history.
05_PAN_ANG_SEQ_27	Specially those coming to that Zoo.
05_PAN_SAD_SEQ_28	You were terrible living beings.
05_PRO_SAD_DTR_22	Can we be friends?
05_PRO_NEU_DTR_23	[leaves]
05_PRO_SAD_DTR_24	But we all are not the same.
05_PRO_NEU_DTR_25	You are being dramatic.
05_PAN_NEU_SEQ_28	Maybe you are genuinely stupid after all.
05_PAN_NEU_SEQ_29	LEAVE. ME. ALOOOOONE.
05_PAN_NEU_SEQ_30	...
05_PAN_SAD_SEQ_31	Well. Maybe you are right. Who knows.
05_PAN_SAD_SEQ_32	Just... let me rest. I have to think.
05_PAN_NEU_SEQ_33	...
05_PAN_CON_SEQ_34	*sight* Just let me be. I don't wanna talk.
02_PRO_NEU_DTR_01	... [stay silent]
