ID	DIALOGUE_TEXT
02_PRO_ANG_DTR_11	I don't have to answer you!
02_PAN_ANG_SEQ_14	EXCUSE ME!?
02_CHA_DIS_SEQ_07	Hah, a little cheeky, don't you?
02_TUC_NEU_SEQ_06	Well, the human just pointed the facts.
02_TUC_SUR_SEQ_07	Becausen you are being rude.
02_PRO_FEA_DTR_12	I'm sorry, I'm scared!
02_PRO_ANG_DTR_13	Yeah. Tucan is right!
02_KOA_SAD_SEQ_06	Oh, poor kid...
02_KOA_HAP_SEQ_07	Don't worry. Nothing is going to happen.
02_LIN_NEU_SEQ_04	Well, first control the paranoid racoon here.
02_LIN_NEU_SEQ_05	He looks like a volcano about to explode.
02_PAN_ANG_SEQ_15	HEY!
02_TUC_CON_SEQ_08	I didn't need your agreement, human.
02_TUC_HAP_SEQ_09	But thanks!
02_LIN_CON_SEQ_06	That's all we need, someone telling the tucan he was right...
02_TUC_SUR_SEQ_10	Hey! what do you mean by that, huh!?
02_PRO_NEU_DTR_14	... [remain silent]
02_PRO_ANG_DTR_15	Nope, not saying to you!
02_PAN_ANG_SEQ_16	This is riddiculous!
02_CHA_CON_SEQ_08	Agreed. But I didn't expect too much from it to be honest.
02_TUC_NEU_SEQ_11	You both are just morons, right?
02_PAN_ANG_SEQ_17	EXCUSE ME!?
02_CHA_NEU_SEQ_09	...
02_KOA_NEU_SEQ_08	H-Hello...?
02_PAN_ANG_SEQ_18	Why are you saluting the human!?
02_KOA_SUR_SEQ_09	I-I don't know... Education...?
02_PAN_ANG_SEQ_19	But it's a H U M A N!
02_LIN_CON_SEQ_07	Yeah, we have eyes to see it, genious.
02_CHA_DIS_SEQ_10	Sarcasm doesn't fit you well, sweetheart.
02_TUC_HAP_SEQ_12	Ouch, Chamie 1, Linx 0.
02_LIN_CON_SEQ_08	I don't like any of you, except from the Koala guy.
02_CHA_CON_SEQ_11	Well, at least we share something in common then.
02_PAN_ANG_SEQ_20	GUYS, THERE'S A HUMAN THERE!
02_PAN_NEU_SEQ_21	Can you, I don't know...
02_PAN_ANG_SEQ_22	PAY ATTENTION FOR ONCE AT LEAST!?
02_TUC_CON_SEQ_13	Hey bro, chill. The kid is not moving.
02_TUC_NEU_SEQ_14	Maybe it's dead or something.
02_KOA_SUR_SEQ_10	Don't make that kind of jokes, for eucalyptus sake!
02_TUC_HAP_SEQ_15	Why~? We have a human lover here~?
02_KOA_SUR_SEQ_11	D-Don't be silly!
02_CHA_CON_SEQ_12	Huh... is he being silly, or just accurate?
02_LIN_CON_SEQ_09	Hey, let him alone. He did nothing to you.
02_CHA_DIS_SEQ_13	Now defending the human lover? You, the meat-eater?
02_LIN_CON_SEQ_10	Don't push it, lizard.
02_CHA_DIS_SEQ_14	Or what are you going to do?
02_CHA_DIS_SEQ_15	Eat me, maybe? Hunt me?
02_LIN_ANG_SEQ_11	You are pissing me--
02_KOA_ANG_SEQ_12	PLEASE, STOP, ALL OF YOU!
02_CHA_CON_SEQ_16	Tsk...
02_TUC_NEU_SEQ_16	...
02_TUC_NEU_SEQ_17	Not very talkative, don'tcha?
03_CHA_CON_SEQ_01	However... let's stop wasting time fighting.
03_CHA_NEU_SEQ_02	Threat or not, we are now in a dead point.
03_LIN_NEU_SEQ_01	So... what do we do now?
03_KOA_NEU_SEQ_01	It's already very dark, and the child doesn't seem dangerous.
03_KOA_SAD_SEQ_02	Maybe we should rest...
03_LIN_NEU_SEQ_02	Yeah. Fighting won't solve anything.
03_TUC_NEU_SEQ_01	But... what about the human?
03_TUC_SUR_SEQ_02	We can't just... keep it here.
03_PRO_HAP_DTR_01	I'll be good!
03_PRO_NEU_DTR_02	I'm leaving.
03_KOA_SUR_SEQ_03	But we can't just throw the kid into the forest!
03_KOA_SUR_SEQ_04	Could be dangerous!
03_PAN_DIS_SEQ_01	...Aaand? I particulary don't care if it get's hurt or something.
03_TUC_CON_SEQ_03	What a friendly guy.
03_LIN_NEU_SEQ_03	*sigh* Just keep an eye on him. We'll see tomorrow.
03_PAN_ANG_SEQ_02	You CAN'T be serious!
03_CHA_DIS_SEQ_03	Panda, shut up. It's pointless.
03_PAN_ANG_SEQ_03	You all are desillusional!
03_PAN_FEA_SEQ_04	We will regret this!
03_LIN_NEU_SEQ_04	...
03_LIN_NEU_SEQ_05	Fine. The kid stays.
03_KOA_HAP_SEQ_05	Thanks God...
03_CHA_CON_SEQ_20	But just for this night. We don't trust you yet.
03_TUC_NEU_SEQ_04	Yup. Not a single bit.
03_PAN_ANG_SEQ_05	...
03_PAN_FEA_SEQ_06	You all will regret this. Remember my words.
03_KOA_SUR_SEQ_06	What, wait! No!
03_LIN_CON_SEQ_06	You can't be serious...
03_PAN_FEA_SEQ_07	I TOLD YOU! HE'S GOING TO SELL US TO THE HUMANS!
03_TUC_CON_SEQ_05	Eh, maybe you are overreacting, Panda.
03_TUC_CON_SEQ_06	But yeah, kiddo, you can't go back.
03_CHA_DIS_SEQ_04	We don't trust you. So, we can't let you go just like that.
03_CHA_CON_SEQ_05	Not yet at least.
03_KOA_SAD_SEQ_07	Come on guys...
03_KOA_HAP_SEQ_08	Hey, little child. Just stay here this night.
03_KOA_SAD_SEQ_09	It's dangerous outside in the woods.
03_KOA_HAP_SEQ_10	Tomorrow we'll see what to do, right?
03_KOA_NEU_SEQ_11	Don't be afraid, I won't allow them to touch you.
03_LIN_CON_SEQ_07	*murmuring* As if you could...
03_LIN_NEU_SEQ_08	Well... it seems to be decided.
03_LIN_NEU_SEQ_09	The human stays whatever it wants or not.
